col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,target
56276,888.242,326.1485,220.2388,56831,267.6805,0.7376,0.9902,0.7453,0.8963,1.4809,0.8207,1
76631,1068.146,417.1932,234.2289,77280,312.3614,0.8275,0.9916,0.7151,0.844,1.7811,0.7487,1
71623,1082.987,435.8328,211.0457,72663,301.9822,0.8749,0.9857,0.74,0.7674,2.0651,0.6929,1
66458,992.051,381.5638,222.5322,67118,290.8899,0.8123,0.9902,0.7396,0.8486,1.7146,0.7624,1
66107,998.146,383.8883,220.4545,67117,290.1207,0.8187,0.985,0.6752,0.8338,1.7413,0.7557,1
73338,1020.055,392.2516,238.5494,73859,305.5762,0.7938,0.9929,0.7187,0.8857,1.6443,0.779,1
73465,1047.767,413.6504,227.2644,74089,305.8407,0.8356,0.9916,0.7443,0.8409,1.8201,0.7394,1
83429,1114.561,438.5827,242.8826,84126,325.9219,0.8327,0.9917,0.7019,0.844,1.8057,0.7431,1
85461,1136.125,446.2935,245.1551,86344,329.8671,0.8356,0.9898,0.7457,0.832,1.8205,0.7391,1
71393,1096.533,459.2091,199.1305,72203,301.4969,0.9011,0.9888,0.6,0.7461,2.3061,0.6566,1
57934,933.357,368.7807,201.2084,58651,271.595,0.838,0.9878,0.7124,0.8357,1.8328,0.7365,1
61138,953.256,371.2713,211.3706,61753,279.0042,0.8221,0.99,0.7391,0.8455,1.7565,0.7515,1
82196,1141.067,466.2324,225.8543,82991,323.5046,0.8748,0.9904,0.6702,0.7933,2.0643,0.6939,1
85913,1120.778,435.7355,251.4643,86577,330.7383,0.8167,0.9923,0.7386,0.8595,1.7328,0.759,1
59652,932.197,359.1674,213.7165,60204,275.5926,0.8037,0.9908,0.675,0.8626,1.6806,0.7673,1
89091,1138.972,443.718,256.1033,89964,336.7999,0.8166,0.9903,0.7407,0.863,1.7326,0.759,1
58701,924.23,361.2761,207.3608,59204,273.387,0.8189,0.9915,0.6746,0.8636,1.7423,0.7567,1
68816,996.081,387.6093,227.5767,69403,296.0055,0.8095,0.9915,0.7542,0.8716,1.7032,0.7637,1
71730,1035.017,402.0958,227.921,72668,302.2077,0.8238,0.9871,0.6765,0.8414,1.7642,0.7516,1
73611,1019.849,384.023,244.5884,74230,306.1445,0.7709,0.9917,0.7169,0.8894,1.5701,0.7972,1
79842,1133.404,458.0375,222.8276,80792,318.8385,0.8737,0.9882,0.7354,0.781,2.0556,0.6961,1
68822,1036.675,422.2851,208.052,69467,296.0184,0.8702,0.9907,0.7514,0.8047,2.0297,0.701,1
76775,1090.25,440.8537,223.2013,77569,312.6547,0.8624,0.9898,0.7419,0.8117,1.9751,0.7092,1
